Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
New Entry,6.92E+14,,,,,
New Entry 1,6.92E+14,,,,,
New Entry 2,6.92E+14,,,,,
Output_0,45163077632,,IN,,IN,
Output_1,1.42E+11,,IN,,IN,
Output_2,6.92E+14,,IN + 1,,IN + 1,
Output_3,6.92E+14,,"IN.1, IN.1 + 1, IN.2, IN.2 + 1, …",,"IN.1, IN.1 + 1, IN.2, IN.2 + 1, …",
Output_4,6.92E+14,,"IN.1, IN.2 + 1, IN.3, IN.4 + 1, …",,"IN.1, IN.2 + 1, IN.3, IN.4 + 1, …",
Output_5,6.92E+14,,IN.1 ( x 10 ),,IN.1 ( x 10 ),
Output_6,6.92E+14,,"IN.1+1, IN.2, IN.3, … , IN.N+1",,"IN.1 + 1, IN.2, IN.3, … , IN.[N] + 1",
Output_7,6.92E+14,,"IN.1, IN.2+1, IN.3+2, IN.4, IN.5+1, IN.6+2, …",,"IN.1, IN.2 + 1, IN.3 + 2, IN.4, IN.5 + 1, IN.6 + 2, …",
Output_8,6.92E+14,,"IN.1, IN.3, IN.5, … , IN.25",,"IN.1, IN.3, IN.5, … , IN.[2N-1]",
Output_9,6.92E+14,,"IN.2, IN.4, IN.6, … , IN.24",,"IN.2, IN.4, IN.6, … , IN.[2N]",
Output_10,6.92E+14,,"IN.1 + IN.2, IN.3 + IN.4, … , IN.[2N-1] + IN.[2N]",,"IN.1 + IN.2, IN.3 + IN.4, … , IN.[2N-1] + IN.[2N]",
Output_11,6.92E+14,,"IN.1 + IN.2 + IN.3, … , IN.[3N-2] + IN.[3N-1] + IN.[3N]",,"IN.1 + IN.2 + IN.3, … , IN.[3N-2] + IN.[3N-1] + IN.[3N]",
Output_12,6.92E+14,,"IN.3, IN.2, IN.1, IN.6, IN.5, IN.4, …, IN.[3N], IN.[3N-1], IN.[3N-2]",,"IN.3, IN.2, IN.1, IN.6, IN.5, IN.4, …, IN.[3N], IN.[3N-1], IN.[3N-2]",
Output_13,6.92E+14,,Print the Fibonacci sequence.,,피보나치 수열을 출력하시오.,
Output_14,6.92E+14,,IN,,IN,
Output_15,6.92E+14,,IN ≠ 0,,IN ≠ 0,
Output_16,6.92E+14,,,,,
Output_17,6.92E+14,,,,,
Output_18,6.92E+14,,,,,
Output_19,6.92E+14,,,,,
Output_20,6.92E+14,,,,,
Output_21,6.92E+14,,,,,
New Entry 3,6.92E+14,,,,,
New Entry 4,6.92E+14,,,,,
New Entry 5,6.92E+14,,,,,
New Entry 6,6.92E+14,,,,,
New Entry 7,6.92E+14,,,,,
New Entry 8,6.92E+14,,,,,
New Entry 9,6.92E+14,,,,,
New Entry 10,6.92E+14,,,,,
New Entry 11,6.92E+14,,,,,
New Entry 12,6.92E+14,,,,,
New Entry 13,6.92E+14,,,,,
New Entry 14,6.92E+14,,,,,
New Entry 15,6.92E+14,,,,,
Input,1.25E+12,,Input,,입력,
Output,1.25E+12,,Output,,출력,
