Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
Description,13139566592,,Stage Description,,스테이지 설명,
Challenges,1.01673E+11,,Challenges,,도전과제,
Chapter,3.08861E+15,,Area,,구역,
Chapter_0,3.08877E+15,,Tutorial Area ,,튜토리얼 구역,
Chapter_1,3.09108E+15,,Area no.79,,79번 구역,
Chapter_2,3.09108E+15,,Chapter 2,,챕터 2,
Chapter_3,3.09108E+15,,Chapter 3,,챕터 3,
Chapter_4,3.09108E+15,,Chapter 4,,챕터 4,
Chapter_5,3.09108E+15,,Chapter 5,,챕터 5,
Chapter_6,3.09108E+15,,Chapter 6,,챕터 6,
Chapter_7,3.09108E+15,,Chapter 7,,챕터 7,
Chapter_8,3.09108E+15,,Chapter 8,,챕터 8,
New Entry,3.09108E+15,,,,,
New Entry 1,3.09108E+15,,,,,
Stage,3.09108E+15,,Stage,,스테이지,
Stage_0,3.09108E+15,,Stage 0,,스테이지 0,
Stage_1,3.09108E+15,,Stage 1,,스테이지 1,
Stage_2,3.09108E+15,,Stage 2,,스테이지 2,
Stage_3,3.09108E+15,,Stage 3,,스테이지 3,
Stage_4,3.09108E+15,,Stage 4,,스테이지 4,
Stage_5,3.09108E+15,,Stage 5,,스테이지 5,
Stage_6,3.09108E+15,,Stage 6,,스테이지 6,
Stage_7,3.09108E+15,,Stage 7,,스테이지 7,
Stage_8,3.09108E+15,,Stage 8,,스테이지 8,
Stage_9,3.09108E+15,,Stage 9,,스테이지 9,
Stage_10,3.09108E+15,,Stage 10,,스테이지 10,
Stage_11,3.09108E+15,,Stage 11,,스테이지 11,
Stage_12,3.09108E+15,,Stage 12,,스테이지 12,
Stage_13,,,Stage 13,,스테이지 13,
Stage_14,,,Stage 14,,스테이지 14,
Stage_15,,,Stage 15,,스테이지 15,
Stage_16,,,Stage 16,,스테이지 16,
Stage_17,,,Stage 17,,스테이지 17,
Stage_18,,,Stage 18,,스테이지 18,
Stage_19,,,Stage 19,,스테이지 19,
Stage_20,,,Stage 20,,스테이지 20,
Stage_21,,,Stage 21,,스테이지 21,
,,,,,,
,,,,,,
Challenge_AccessDenied,4.34826E+15,,"Access Denied


Requirement : {StageKey}",,"접근 제한

필요 조건 : {StageKey}",
Statistics,7.22929E+15,,Statistics,,통계,
Challenge_Unlock,9.60485E+15,,You can check the challenges after clearing this stage.,,해당 스테이지를 클리어한 후에 도전 과제를 확인할 수 있습니다.,
Record,9.60663E+15,,my record,,내 기록,
Limit,9.60764E+15,,Limit,,제한,
